BBQ Haven,1,Mexican,low,Greenpoint,5:45,14:10,3.7,0
BBQ Haven,2,Indian,low,Astoria,7:16,22:24,3.8,1
BBQ Haven,3,Chinese,high,Chelsea,3:29,23:14,2.8,1
Sushi Spot,4,Thai,high,Astoria,6:26,20:21,1.0,1
The Hungry Panda,5,American,low,Astoria,11:47,14:08,2.2,0
Pizza Palace,6,Greek,high,Park Slope,8:56,22:26,4.6,1
Cheesy Bites,7,French,low,Astoria,0:58,14:39,3.5,1
Diner Delight,8,Indian,medium,Astoria,11:12,15:26,4.8,0
BBQ Haven,9,Thai,high,Harlem,10:59,19:34,3.6,0
BBQ Haven,10,Indian,low,Tribeca,7:33,15:06,1.4,1
Diner Delight,11,Japanese,low,Park Slope,11:30,13:00,3.3,1
Sizzling Salsa,12,American,high,Chelsea,2:25,19:18,2.4,0
Burger Barn,13,French,high,Bushwick,4:48,21:52,2.0,0
Taco Time,14,Thai,medium,Upper East Side,2:29,13:47,3.1,1
BBQ Haven,15,Indian,low,Astoria,7:12,15:40,5.0,1
Noodle Nest,16,Mexican,low,Williamsburg,1:31,16:41,3.2,1
Diner Delight,17,Indian,medium,Hell's Kitchen,11:44,16:53,3.6,1
Pizza Palace,18,Greek,high,Tribeca,4:43,12:14,1.9,1
Noodle Nest,19,French,high,Park Slope,3:05,22:11,2.2,1
Diner Delight,20,Indian,low,Upper East Side,7:47,13:32,4.0,1
Cheesy Bites,21,Thai,low,Chelsea,10:35,17:33,2.3,0
Diner Delight,22,Indian,high,Tribeca,9:43,14:13,2.7,0
BBQ Haven,23,American,low,Tribeca,5:07,13:58,2.7,0
Noodle Nest,24,American,low,Williamsburg,9:29,20:56,1.2,1
Burger Barn,25,Mediterranean,low,Chelsea,10:26,13:52,3.4,0
Burger Barn,26,American,medium,Astoria,7:58,14:14,1.2,0
Noodle Nest,27,Chinese,high,Tribeca,10:06,12:05,2.4,0
Sushi Spot,28,Japanese,medium,Hell's Kitchen,4:54,21:55,2.9,1
Pizza Palace,29,American,low,Park Slope,5:30,15:06,1.8,1
BBQ Haven,30,French,high,Bushwick,2:19,16:16,3.9,1
BBQ Haven,31,Indian,low,Upper East Side,1:03,13:09,4.7,1
Taco Time,32,Mexican,low,Hell's Kitchen,11:05,17:00,3.0,0
BBQ Haven,33,Italian,low,Harlem,9:58,13:03,4.9,0
Noodle Nest,34,Mediterranean,low,Harlem,1:35,13:20,3.8,1
Taco Time,35,Indian,high,Hell's Kitchen,7:09,19:55,2.9,1
